Id,SalePrice
1461,140400.240975
1462,180489.02019
1463,185562.081437
1464,207463.34487
1465,200396.678385
1466,166944.570173
1467,191317.236373
1468,146977.200208
1469,216538.441424
1470,110906.736522
1471,210408.781856
1472,120199.809634
1473,103729.116008
1474,135185.134693
1475,103993.035012
1476,294555.555304
1477,253546.592879
1478,276889.148605
1479,267767.573147
1480,317362.89205
1481,303784.50008
1482,216728.072657
1483,185727.295912
1484,164726.513272
1485,175845.288436
1486,203614.664863
1487,269902.161643
1488,257245.94641
1489,185305.556813
1490,240440.976032
1491,215949.452256
1492,95127.4262546
1493,197000.876115
1494,253460.425979
1495,294977.562886
1496,233369.757607
1497,170527.023815
1498,148877.060262
1499,146972.015862
1500,139017.806493
1501,189359.410046
1502,133046.607409
1503,273916.57921
1504,239623.593263
1505,229726.53125
1506,217601.955936
1507,271029.601715
1508,203431.683018
1509,160266.433746
1510,147140.219029
1511,153497.385592
1512,205992.345371
1513,157321.5084
1514,159816.883994
1515,247151.735059
1516,174558.133802
1517,188551.481175
1518,126799.199808
1519,252712.272167
1520,125711.374498
1521,136236.162006
1522,207620.858327
1523,80463.3612239
1524,121326.413832
1525,114134.679819
1526,110425.701156
1527,104046.336215
1528,154436.033156
1529,135294.579901
1530,226382.812987
1531,151982.05114
1532,103039.569857
1533,159611.919264
1534,128266.565906
1535,177129.229522
1536,124744.609883
1537,68299.3662975
1538,179227.556162
1539,210293.846246
1540,128426.468834
1541,170470.447815
1542,156621.096838
1543,217403.229663
1544,73148.3262508
1545,124766.207598
1546,126289.814288
1547,150750.865549
1548,135878.522016
1549,119525.218256
1550,113220.934685
1551,134524.804375
1552,149117.385295
1553,169141.152114
1554,126080.925512
1555,185387.2078
1556,102033.362915
1557,124715.075178
1558,82820.797427
1559,104878.167002
1560,132703.713875
1561,128577.682326
1562,116675.754488
1563,106659.02975
1564,172105.700086
1565,140156.247618
1566,253961.693381
1567,60158.5898256
1568,241151.209527
1569,128172.086382
1570,130966.291532
1571,141676.210474
1572,149293.175368
1573,267692.023778
1574,110553.243583
1575,237535.437968
1576,228558.158077
1577,197714.70572
1578,146050.597608
1579,143733.158309
1580,219670.428411
1581,152935.869141
1582,92689.0535865
1583,310956.352718
1584,231284.621224
1585,156181.238885
1586,58360.8145808
1587,85123.3131676
1588,154506.216577
1589,114298.23773
1590,111731.014957
1591,64881.543428
1592,110727.659461
1593,131573.448901
1594,126924.617206
1595,113381.90503
1596,227473.829883
1597,175694.02759
1598,208660.186246
1599,200110.642327
1600,174302.66294
1601,60566.0681682
1602,143569.637099
1603,94856.7229527
1604,238020.837672
1605,274069.122026
1606,168389.380188
1607,172728.670008
1608,212783.260924
1609,194714.430483
1610,132979.726524
1611,153571.550395
1612,173787.494231
1613,172802.8185
1614,126857.413048
1615,77225.7287756
1616,56223.1048461
1617,64173.2128875
1618,102937.191015
1619,153901.206369
1620,158416.087578
1621,135944.826316
1622,134708.88546
1623,228587.368109
1624,215066.746031
1625,126061.722515
1626,199446.893297
1627,209634.844011
1628,301065.002613
1629,179045.295478
1630,320373.155588
1631,220073.365136
1632,261535.469483
1633,165578.271096
1634,181134.945586
1635,165651.654662
1636,138479.806482
1637,206486.704581
1638,225671.074579
1639,229057.38444
1640,305069.353047
1641,238020.08901
1642,240741.304989
1643,233972.419784
1644,243627.738226
1645,223408.733815
1646,167672.341593
1647,169019.888289
1648,125226.381295
1649,117625.404898
1650,96782.9685916
1651,98259.8109634
1652,111629.541132
1653,114044.121606
1654,130452.467079
1655,141587.299958
1656,117729.251954
1657,135170.162634
1658,119466.979406
1659,128937.242131
1660,151784.722708
1661,307473.43359
1662,323919.973555
1663,324771.488677
1664,335688.581812
1665,275573.400426
1666,303351.350077
1667,290693.308722
1668,313137.528021
1669,294705.720646
1670,317289.796149
1671,286695.481644
1672,327427.019362
1673,270138.117214
1674,254398.257507
1675,211926.723212
1676,204926.318606
1677,235591.939851
1678,333793.374741
1679,329624.744665
1680,296314.797073
1681,244548.849726
1682,300791.190268
1683,193534.797626
1684,189353.216304
1685,155912.334873
1686,163139.698857
1687,152227.053796
1688,204338.959557
1689,198754.248905
1690,205605.858736
1691,177672.776401
1692,269856.710516
1693,167123.444929
1694,175639.795987
1695,155712.404115
1696,292864.522855
1697,161737.745533
1698,314882.830311
1699,242837.021824
1700,247746.412447
1701,296922.629963
1702,261781.0598
1703,256224.705858
1704,295299.406061
1705,250396.321526
1706,329071.323092
1707,200982.033603
1708,208047.361866
1709,262406.128333
1710,238307.777789
1711,276900.334811
1712,253755.194515
